RML,NOMBRE_COL,AREA,CALLE,NIVELES,US_ACT2020,geometry,Year,REGION,MANZANA,LOTE,SHAPE_AREA,ZONA,Categoria,Value
10 000 009,,1118.0,V CARRANZA 206 Y MATANCILLA,1,HU,"MULTIPOLYGON (((-100.4019643271256 25.65275182046335, -100.4021121153415 25.65280748582381, -100.4019808669073 25.65314984856403, -100.401728778176 25.65306595851799, -100.4017215034676 25.65303730507844, -100.4018708936588 25.6527166280598, -100.4019643271256 25.65275182046335)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 004 001,,8163.0,INDEP Y LIBERTAD,0,EA,"MULTIPOLYGON (((-100.4016038282173 25.66458385204036, -100.40239754211 25.66486608577826, -100.402031338186 25.6656645581062, -100.4012466213991 25.66539126881919, -100.4016038282173 25.66458385204036)))",2011,,,,,Casco Urbano,ESPACIOS ABIERTOS,1
03 003 001,CENTRO,6488.0,LOS ALDAMAS 250 SUR,3,S,"MULTIPOLYGON (((-100.4048112616675 25.6611649395355, -100.4049732899081 25.66122061968325, -100.4048443110269 25.66152125009358, -100.4048373483618 25.66153810461408, -100.4048260905675 25.66156367636552, -100.4046721140006 25.66192288028252, -100.4039458592465 25.66170016838907, -100.4042641559194 25.66097753594219, -100.4048112616675 25.6611649395355)))",2011,,,,,Casco Urbano,SERVICIOS,1
03 010 007,,390.0,GALEANA PTE 162,2,HU,"MULTIPOLYGON (((-100.4048642638659 25.66100974008603, -100.4049341145076 25.66083016993777, -100.4050770068306 25.6608786783479, -100.4049847590067 25.66109761759371, -100.4048477286085 25.66105224839828, -100.4048642638659 25.66100974008603)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 013,SAN PEDRO,223.0,GALEANA 128,2,HU,"MULTIPOLYGON (((-100.4046815450493 25.66075338516354, -100.4046965648024 25.66071829916389, -100.4047656125354 25.66074088840551, -100.4046623063991 25.66099084927942, -100.404590121373 25.66096694945951, -100.4046815450493 25.66075338516354)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 011,,222.0,GALEANA 106,2,HU,"MULTIPOLYGON (((-100.4045385637532 25.66070664958385, -100.404553137427 25.66067137289099, -100.4046274781742 25.66069569384904, -100.4045170245997 25.66094274440773, -100.4044501712995 25.66092060979579, -100.4045385637532 25.66070664958385)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 012,,224.0,GALEANA PTE 122,2,HU,"MULTIPOLYGON (((-100.4045938580172 25.66077088974395, -100.4046274766841 25.66069569505514, -100.4046965662835 25.66071829803911, -100.4045901228542 25.66096694833474, -100.4045170231096 25.66094274561383, -100.4045938580172 25.66077088974395)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 010,,234.0,GALEANA,2,HU,"MULTIPOLYGON (((-100.4045531390167 25.66067137168393, -100.4044501728893 25.66092060858871, -100.404376086558 25.66089607912751, -100.4044787446167 25.66064703311897, -100.4045531390167 25.66067137168393)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 003,,214.0,GALEANA 100,1,S,"MULTIPOLYGON (((-100.4044350493212 25.66063273634932, -100.4044787461983 25.66064703206547, -100.4043760881396 25.66089607807401, -100.4043023289701 25.66087165688415, -100.4043941389406 25.66067415062693, -100.4044157396938 25.66062641907287, -100.4044350493212 25.66063273634932)))",2011,,,,,Casco Urbano,SERVICIOS,1
03 010 008,,759.0,JUAREZ 349,2,HU,"MULTIPOLYGON (((-100.4047373063946 25.66043096608188, -100.4048746805222 25.6604769667371, -100.4048020370611 25.66065273668204, -100.4044569491553 25.66053533075254, -100.404534857627 25.66036317443799, -100.4047373063946 25.66043096608188)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 006,,405.0,LOS ALDAMAS 325 SAN PEDRO,2,HU,"MULTIPOLYGON (((-100.4050602865523 25.66058497591439, -100.4051833120192 25.66062636038049, -100.4050914873908 25.66084429614201, -100.4049472626155 25.66079692318341, -100.4049823870982 25.66071000717846, -100.4050341558982 25.6605768765223, -100.4050602865523 25.66058497591439)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 009,SAN PEDRO,177.0,JUAREZ SUR 343,2,HU,"MULTIPOLYGON (((-100.4044157336128 25.66062641785836, -100.4044342393198 25.66058552544299, -100.4047816805111 25.66070200438894, -100.4047656125968 25.66074088259954, -100.4044157336128 25.66062641785836)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 002,,219.0,JUAREZ 345,0,BU,"MULTIPOLYGON (((-100.404441551021 25.66056936587825, -100.4044569501867 25.66053533801061, -100.4048020380926 25.6606527439401, -100.4047816802273 25.66070200226996, -100.404434239036 25.660585523324, -100.404441551021 25.66056936587825)))",2011,,,,,Casco Urbano,BALDIO URBANO,1
03 010 005,,369.0,16 DE SEPTIEMBRE 175,2,HU,"MULTIPOLYGON (((-100.4052391815369 25.66042568950236, -100.4052642096072 25.66043434716525, -100.4051833108867 25.66062635214831, -100.4050602854198 25.6605849676822, -100.4050341547657 25.66057686829012, -100.405112317568 25.66038180489087, -100.4052391815369 25.66042568950236)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 010 004,,2232.0,GALEANA 122,2,HM,"MULTIPOLYGON (((-100.4050243714673 25.66060203734429, -100.4049823895535 25.66070999142705, -100.4049472650708 25.660796907432, -100.4050914898461 25.66084428039061, -100.4050770077859 25.66087865191207, -100.404934115463 25.66083014350194, -100.4048477295638 25.66105222196246, -100.4046623006646 25.66099082832513, -100.4048746760414 25.66047696096582, -100.4045348531463 25.66036316866671, -100.4045976308268 25.66022432944873, -100.4046293471815 25.66021853383985, -100.4050455204669 25.66035868969813, -100.4051123211558 25.66038179737165, -100.4050341583535 25.6605768607709, -100.4050243714673 25.66060203734429)))",2011,,,,,Casco Urbano,HABITACIONAL MULTIFAMILIAR,1
03 014 001,,6837.0,LOS ALDAMAS Y 5 DE MAYO,1,S,"MULTIPOLYGON (((-100.4057083309261 25.65966263832458, -100.4064855025687 25.6599325276296, -100.4062051446453 25.66061828870518, -100.4054212964127 25.66036076575869, -100.4057083309261 25.65966263832458)))",2011,,,,,Casco Urbano,SERVICIOS,1
04 012 003,,439.0,L GZA AYALA 509,0,EA,"MULTIPOLYGON (((-100.4074451541673 25.6628813476424, -100.4075076915614 25.66272574242553, -100.4075123368411 25.66271493601072, -100.4076983551077 25.66278002371926, -100.4076246870328 25.66296633423132, -100.4074576174317 25.66290877162977, -100.4074451541673 25.6628813476424)))",2011,,,,,Casco Urbano,ESPACIOS ABIERTOS,1
04 035 023,,273.0,,1,HU,"MULTIPOLYGON (((-100.4087588120346 25.6601535979974, -100.4085549921111 25.66008588588666, -100.4085974841006 25.65997877061391, -100.4088011605545 25.66004832709326, -100.4087588120346 25.6601535979974)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
04 035 010,,314.0,ALLENDE 556,1,HU,"MULTIPOLYGON (((-100.4087421940624 25.65988948116554, -100.4088494386722 25.65992830917016, -100.4088011598954 25.66004832186306, -100.4085974834415 25.65997876538371, -100.4086466274838 25.65985488111364, -100.4087421940624 25.65988948116554)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
04 035 024,,288.0,,2,HU,"MULTIPOLYGON (((-100.408875062796 25.65986460658831, -100.4088494384661 25.65992830434187, -100.4086466272776 25.65985487628535, -100.4086915850728 25.65974154467742, -100.4088436113122 25.65978507566161, -100.408875062796 25.65986460658831)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 001,,358.0,REFORMA OTE 302 Y GRO,1,HU,"MULTIPOLYGON (((-100.4008846134158 25.66328622040073, -100.4008978005868 25.66325583397396, -100.4009125282668 25.66322074212248, -100.401100109962 25.66328848974621, -100.4010336156936 25.66343591304971, -100.4008477473242 25.6633716051521, -100.4008846134158 25.66328622040073)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 013,SAN PEDRO,261.0,REFORMA OTE 330,1,HU,"MULTIPOLYGON (((-100.4007355897412 25.66308069059071, -100.400633714979 25.66329747255797, -100.4005419697945 25.66326548330922, -100.4006405700696 25.66304820381359, -100.4007355897412 25.66308069059071)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 014,,269.0,REFORMA,0,HU,"MULTIPOLYGON (((-100.400613770165 25.66303907811355, -100.4006405721126 25.66304820216885, -100.4005419718374 25.66326548166447, -100.400446460419 25.66323234388211, -100.4005435666871 25.6630149943468, -100.400613770165 25.66303907811355)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 015,,256.0,REFORMA,0,S,"MULTIPOLYGON (((-100.4005435687608 25.66301499277398, -100.4004464624926 25.66323234230929, -100.4003553390842 25.66320072687809, -100.4004510949657 25.66298333909139, -100.4005435687608 25.66301499277398)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 020 022,,974.0,REFORMA Y GUERRERO,1,S,"MULTIPOLYGON (((-100.4010632766594 25.66314363769951, -100.4011520759902 25.66317329194946, -100.4011001094035 25.6632884820231, -100.4009125277083 25.66322073439937, -100.4008978000283 25.66325582625085, -100.4008477467657 25.66337159742899, -100.4006337064769 25.66329747303682, -100.4007355812392 25.66308069106957, -100.4007417612475 25.66306673621036, -100.4007540296623 25.66304097870077, -100.4010632766594 25.66314363769951)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 020 016,,331.0,REFORMA,1,S,"MULTIPOLYGON (((-100.4004091324452 25.6629689289555, -100.4004510969752 25.66298333713998, -100.4003553410937 25.66320072492669, -100.4002347455101 25.663158883956, -100.4003337145982 25.66294315289, -100.4004091324452 25.6629689289555)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 021 012,,393.0,REFORMA OTE 410,2,HU,"MULTIPOLYGON (((-100.4000537886978 25.66287793949405, -100.3999755102325 25.66306603348465, -100.3998504780454 25.66302272466788, -100.3999646584191 25.6627699224429, -100.4000811120364 25.66281176167607, -100.4000537886978 25.66287793949405)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
