RML,NOMBRE_COL,AREA,CALLE,NIVELES,US_ACT2020,geometry,Year,REGION,MANZANA,LOTE,SHAPE_AREA,ZONA,Categoria,Value
09 009 082,,,PORFIRIO DIAZ 508,2,HU,"MULTIPOLYGON (((-100.3977225593621 25.66178663720729, -100.3978274183775 25.66165103115866, -100.3978449216873 25.66162839587933, -100.3978575955101 25.66161200588173, -100.3978910289704 25.66162362417947, -100.3980996889489 25.6616961376241, -100.3981664149371 25.66171932579028, -100.3981273660126 25.66176939591797, -100.3979905600544 25.66194481367051, -100.3978177379423 25.66184281257589, -100.3977793230342 25.66182013951271, -100.3977225593621 25.66178663720729)))",2020,09,009,082,871.031324581,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 125,SAN PEDRO,,PRIV LA VENTURA L3 M9,2,HU,"MULTIPOLYGON (((-100.3975384426619 25.6620247425961, -100.3976292061297 25.66190736404038, -100.3976723035281 25.66193280019433, -100.397724587389 25.6619636585095, -100.3977292518341 25.6619664118004, -100.3978265932652 25.66202386385292, -100.3978966582807 25.66206521637824, -100.3978443849827 25.66213224238522, -100.3978036240054 25.6621845074279, -100.3975384426619 25.6620247425961)))",2020,09,009,125,512.7017641035,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 126,,,PRIV LA VENTURA L4 M9 SAN PEDRO,2,HU,"MULTIPOLYGON (((-100.3974482364342 25.6621413979909, -100.3974962960687 25.66207924727479, -100.3975384426619 25.6620247425961, -100.3978036240054 25.6621845074279, -100.3977646425132 25.66223449104779, -100.3977128922207 25.66230084569226, -100.3976346365055 25.66225369841862, -100.3975264749457 25.66218853470037, -100.3974977358096 25.66217121947806, -100.3974482364342 25.6621413979909)))",2020,09,009,126,503.7243778109,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 124,SAN PEDRO,,PRIV LA VENTURA 508,2,HU,"MULTIPOLYGON (((-100.3976292061297 25.66190736404038, -100.3976815179972 25.66183971296008, -100.3977225593621 25.66178663720729, -100.3977793230342 25.66182013951271, -100.3978177379423 25.66184281257589, -100.3979905600544 25.66194481367051, -100.3978966582807 25.66206521637824, -100.3978265932652 25.66202386385292, -100.3977292518341 25.6619664118004, -100.397724587389 25.6619636585095, -100.3976723035281 25.66193280019433, -100.3976292061297 25.66190736404038)))",2020,09,009,124,523.421499937,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 079,SAN PEDRO,,TREVI\O 205,1,HU,"MULTIPOLYGON (((-100.3981960380777 25.66216025200537, -100.3981972858777 25.66210742732148, -100.3981988958803 25.66203927765198, -100.3981995673583 25.66201083748422, -100.3982004922575 25.66197166802208, -100.398229559278 25.6619824992424, -100.3982550463244 25.6619919960194, -100.3982932373818 25.66200622665765, -100.3983169784758 25.66201507293771, -100.398321421927 25.6620167286443, -100.3983226826259 25.66201719869268, -100.3983472691915 25.66202636009097, -100.3983382786089 25.66207206587995, -100.3983379447503 25.66207376284178, -100.3983335698804 25.66209600786116, -100.3983323322582 25.66210229910178, -100.398316583738 25.66218236653421, -100.3983114791066 25.6622083163749, -100.3982986663557 25.66220298165009, -100.3982768331234 25.66219389132996, -100.3982661927032 25.66218946108223, -100.3981960380777 25.66216025200537)))",2020,09,009,079,281.5912278271,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 083,,,TREVI/O 220,2,HU,"MULTIPOLYGON (((-100.3983114791066 25.6622083163749, -100.398316583738 25.66218236653421, -100.3983323322582 25.66210229910178, -100.3983335698804 25.66209600786116, -100.3983379447503 25.66207376284178, -100.3983382786089 25.66207206587995, -100.3983472691915 25.66202636009097, -100.3983852961842 25.66204052997898, -100.3984690514492 25.66207173925334, -100.3985058657921 25.66208545665864, -100.3985012906153 25.66209582288223, -100.3984494854711 25.6622132006571, -100.3984298832061 25.66225761411187, -100.3984248228885 25.66225550732717, -100.3983114791066 25.6622083163749)))",2020,09,009,083,306.353097249,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 067,,,PORFIRIO DIAZ OTE 603,2,HU,"MULTIPOLYGON (((-100.3982004922575 25.66197166802208, -100.398185795167 25.66196619213091, -100.39815628391 25.66195519541969, -100.3981712454635 25.66193602614943, -100.3982148767136 25.66188012749498, -100.398228729123 25.66186238001311, -100.3982354418353 25.66185377917464, -100.3982645747753 25.6618164548752, -100.3982994535931 25.66177176868557, -100.3983032668589 25.66176688380063, -100.398387575421 25.66179618189378, -100.3984136190942 25.66180523271601, -100.3983861515023 25.66186925848763, -100.3983251721926 25.66201139564146, -100.3983226826259 25.66201719869268, -100.398321421927 25.6620167286443, -100.3983169784758 25.66201507293771, -100.3982932373818 25.66200622665765, -100.3982550463244 25.6619919960194, -100.398229559278 25.6619824992424, -100.3982004922575 25.66197166802208)))",2020,09,009,067,374.3159297046,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 100,,,TREVI/O 601,1,HU,"MULTIPOLYGON (((-100.3983861515023 25.66186925848763, -100.3984136190942 25.66180523271601, -100.3984695304279 25.66182466282886, -100.3984957681547 25.66183378039391, -100.3985910316354 25.66186688638841, -100.3986008291544 25.66187029108201, -100.3985814094483 25.66191429019965, -100.3985729239482 25.66193351663178, -100.3985426013644 25.66192308393498, -100.3985073877331 25.66191096912245, -100.3984675771082 25.66189727229895, -100.3983861515023 25.66186925848763)))",2020,09,009,100,152.19753932,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 119,DEL VALLE,,CALLEJON DE LOS AYALA 1802,1,HU,"MULTIPOLYGON (((-100.3932605930465 25.6647842717889, -100.3937879343005 25.66401822960347, -100.394234714399 25.66427131594752, -100.3937036816041 25.66503526688106, -100.3936196150144 25.66498764660136, -100.3935808103631 25.66496566505193, -100.3932605930465 25.6647842717889)))",2020,09,009,119,5267.682343531,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 101,,,,0,HU,"MULTIPOLYGON (((-100.3959677461332 25.66623649820167, -100.3959896642275 25.6662074015684, -100.3960168251293 25.6661713433947, -100.3960546973137 25.66612106474551, -100.3960742195951 25.66609514831687, -100.3961084549265 25.66604969862682, -100.3962368695883 25.66587922106046, -100.3958361634148 25.66562573216191, -100.396128946584 25.66524767985795, -100.3962028568625 25.66529488389609, -100.3962910950083 25.66535123942531, -100.3966562644531 25.66558446123015, -100.3965028795395 25.66578781372866, -100.3964733303364 25.66582698803528, -100.3961111586284 25.66630713742719, -100.3959677461332 25.66623649820167)))",2020,09,009,101,4086.480347583,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 061,,,ZARAGOZA SAN PEDRO,1,HU,"MULTIPOLYGON (((-100.3972087965914 25.66553627484137, -100.3973113497737 25.66540047810645, -100.3975176950257 25.66551828815849, -100.3975290649961 25.66552477917546, -100.3974754344478 25.66559541506147, -100.3974248474168 25.66566204198515, -100.3972087965914 25.66553627484137)))",2020,09,009,061,472.9783869531,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 130,PRIV GRAL NARANJO,,PRIV LA VENTURA 509,2,HU,"MULTIPOLYGON (((-100.3972291785863 25.66174963015565, -100.3973631664964 25.66157508965458, -100.3973681807593 25.66157794343757, -100.3974024171126 25.6615974252883, -100.3974495842645 25.66162426622121, -100.3974930428845 25.66164899655064, -100.397546986358 25.66167969368519, -100.3975556981429 25.66168465093, -100.3975840157161 25.66170076486526, -100.3976060714884 25.66171331648495, -100.3976225413565 25.66172268845212, -100.397560289802 25.66180319208665, -100.3974862259314 25.66189897051068, -100.3974779702767 25.66189417411815, -100.3974041227712 25.6618512703713, -100.3973489380243 25.66181920911239, -100.3973423794457 25.66181539863775, -100.3972291785863 25.66174963015565)))",2020,09,009,130,726.7546830404,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 129,SAN PEDRO,,PRIV NARANJO 591,2,HU,"MULTIPOLYGON (((-100.3973631664964 25.66157508965458, -100.3974449205255 25.6614685929541, -100.3977397877292 25.66157106540017, -100.3977176129317 25.66159974219325, -100.3976832206168 25.66164421773939, -100.3976225413565 25.66172268845212, -100.3976060714884 25.66171331648495, -100.3975840157161 25.66170076486526, -100.3975556981429 25.66168465093, -100.397546986358 25.66167969368519, -100.3974930428845 25.66164899655064, -100.3974495842645 25.66162426622121, -100.3974024171126 25.6615974252883, -100.3973681807593 25.66157794343757, -100.3973631664964 25.66157508965458)))",2020,09,009,129,536.0254276267,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
